decade,state,Biological,Chemical,Coastal Storm,Dam/Levee Break,Drought,Earthquake,Fire,Fishing Losses,Flood,Freezing,Human Cause,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm,Snowstorm,Terrorist,Tornado,Toxic Substances,Tropical Storm,Tsunami,Typhoon,Volcanic Eruption,Winter Storm,Total
1970's,SD,0,0,0,0,62,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
1970's,TN,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,14,0,0,48,0,0,0,0,0,0,189
1970's,TX,0,0,0,0,0,0,0,0,79,0,0,7,0,0,0,12,0,0,17,0,0,0,0,0,0,115
1970's,UT,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
1970's,VA,0,0,0,0,100,0,0,0,166,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305
1970's,VT,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
1970's,WA,0,0,0,0,16,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
1970's,WI,0,0,0,0,66,0,0,0,60,0,0,0,0,0,0,30,3,0,4,0,0,0,0,0,0,163
1970's,WV,0,0,0,0,21,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1970's,WY,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
1980's,AK,0,0,0,0,0,0,1,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1980's,AL,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,4,0,0,0,0,0,0,14
1980's,AR,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,38,0,0,42,0,0,0,0,0,0,96
1980's,AZ,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21
1980's,CA,0,0,43,0,0,4,19,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
1980's,CO,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1980's,CT,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,25
1980's,FL,0,0,0,0,0,0,4,0,4,25,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1980's,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
