year,state,incident_type
1966,MN,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,AZ,Flood
1966,AZ,Flood
1966,AZ,Flood
1966,AZ,Flood
1966,AZ,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,TX,Flood
1966,KS,Tornado
1966,KS,Tornado
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,ND,Flood
1966,NE,Flood
1966,NE,Flood
1966,NE,Flood
1966,NE,Flood
1966,NE,Flood
1966,NE,Flood
1966,NE,Flood
1966,NE,Flood
1966,TX,Flood
1967,CA,Flood
1967,CA,Flood
1967,CA,Flood
1967,CA,Flood
1967,CA,Flood
1967,CA,Flood
1967,CA,Flood
1967,CA,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,WV,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,KY,Flood
1967,IL,Tornado
1967,IL,Tornado
1967,IL,Tornado
1967,IL,Tornado
1967,IL,Tornado
1967,IL,Tornado
1967,IL,Tornado
1967,IL,Tornado
1967,IL,Tornado
1967,KS,Tornado
1967,KS,Tornado
1967,KS,Tornado
